[2026-07-30T05:06:02.674Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-30T05:06:02.677Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-30T05:06:02.677Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-30T05:06:02.677Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-30T05:06:02.678Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-30T05:06:02.678Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-30T05:06:02.678Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-30T05:06:02.678Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-30T05:06:02.679Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-30T05:06:02.683Z] [INFO] Daemon started (PID: 61791, CPUs: 8, workers: 7, maxCpuLoad: 6.4, minFreeMemoryPercent: 10%)
[2026-07-30T05:06:02.688Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-30T05:06:02.690Z] [INFO] Worker map completed in 4ms
[2026-07-30T05:08:02.682Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-30T05:08:02.683Z] [INFO] Worker audit completed in 1ms
[2026-07-30T05:10:02.682Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-30T05:10:02.683Z] [INFO] Worker optimize completed in 0ms
[2026-07-30T05:12:02.682Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-30T05:12:02.684Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-30T05:12:02.684Z] [INFO] Worker consolidate completed in 2ms
[2026-07-30T05:14:02.682Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-30T05:14:02.683Z] [INFO] Worker testgaps completed in 1ms
[2026-07-30T05:16:02.683Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-30T05:16:02.686Z] [INFO] Worker backup completed in 4ms
[2026-07-30T05:18:02.683Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-30T05:18:02.686Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-30T05:18:02.687Z] [INFO] Worker audit completed in 2ms
[2026-07-30T05:18:02.712Z] [INFO] Worker harness completed in 29ms
[2026-07-30T05:21:02.752Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-30T05:21:02.753Z] [INFO] Worker map completed in 57ms
[2026-07-30T05:25:02.688Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-30T05:25:02.690Z] [INFO] Worker optimize completed in 2ms
[2026-07-30T05:28:02.692Z] [INFO] Worker audit deferred: CPU load too high: 9.68
[2026-07-30T05:34:02.688Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-30T05:34:02.690Z] [INFO] Worker testgaps completed in 3ms
[2026-07-30T05:34:02.774Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-30T05:34:02.775Z] [INFO] Worker audit completed in 2ms
[2026-07-30T05:36:02.757Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-30T05:36:02.758Z] [INFO] Worker map completed in 2ms
[2026-07-30T05:38:02.695Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-30T05:38:02.696Z] [INFO] Worker audit completed in 1ms
[2026-07-30T05:40:02.697Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-30T05:40:02.698Z] [INFO] Worker optimize completed in 2ms
